Contempt,表情1 不屑
Dahlia,花1 大丽花
Camellia,花1 山茶花
Dianthus,花1 石竹
Petunia,花1 花烟草
Nasturtium,花1 马蹄莲
Ginger Flower,花1 姜花
Snapdragon,花1 花菱草
Creeping Jenny,花2 紫荆
Cherry Blossom,花2 樱花
Forget-Me-Not,花2 勿忘我
Bud,花2 花蕾
Rose Tea,花2 玫瑰茶
Pepper,花2 花椒
Baby's Breath,花2 雪绒花
Night-Blooming Jasmine,花2 夜来香
Celosia,花2 鸡冠花
Lilac,花2 丁香
Iris,花2 唐菖蒲
Peanut,花2 花生
Granite,花2 花岗岩
Cauliflower,花2 卷心菜花
Bee Balm,花2 蜜蜂花
Face,花2 花脸
Torch Lily,花2 火炬花
Wildflower,花2 野花
Axis,花2 花轴
Blossom,花2 花卉
Pot,花3 花盆
Border,花3 花边
Shiso,花3 紫苏花
Petal,花3 花瓣
Peach Blossom,花3 桃花
Peanut Oil,花3 花生油
Flower Name,花3 花名
African Violet,花3 南非郁金香
Flowering Plant,花3 开花植物
Gentian,花3 龙胆花
Flower Tea,花3 花茶
Golden Flower Tea,花3 金花茶
Balloon Flower,花3 白花蛇舌草
Squash Blossom,花3 丝瓜花
Soybean,花3 花豆
Parrot Flower,花3 鹦鹉花
All Flowers Bloom Together,花3 百花齐放
Chipmunk,花3 花栗鼠
Combretum,花3 鸡冠菜
Carnation,花3 花瓶
Feathers,花4 花翎
Tambourine,花4 花鼓
Peony,花4 洋牡丹
Flower,花4 花儿
Pistil,花4 花蕊
Chrysanthemum,花4 菊花
Blooming,花4 花盛
Flower Demon,花4 花妖
Sichuan Pepper Tree,花4 花椒树
Hawthorn,花4 花楸
Inflorescence,花4 花序
Flower Xu,花4 花璇
Baiflo,花4 百花洲
Rose,花4 月季花
Flower Garden,花4 百花园
Bird of Paradise Flower,花4 天堂鸟花
Lily of the Valley,花4 野百合
Frog Flower,花4 青蛙花
Bird's Nest Fern,花4 鸟巢花
Brassicaceae,花4 十字花科
Alpine Plant,花5 高山植物
Language of Flowers,花5 花的语言
Fuchsia,花5 垂丝海棠
Oolong Tea Flower,花5 乌龙茶花
Honeysuckle,花5 金银花
Chrysanthemum Tea,花5 翠花茶
Tea Flower,花5 茶花
Classic Red Black andWhite,配色1 经典红黑白色系
Whopper,配色1 巨无霸色系
Coral Orange,配色1 珊瑚橙色系
Autumn Brown,配色1 秋日棕色系
Violet Purple,配色1 紫罗兰紫色系
LemonYellow,配色1 柠檬黄色系
Crystal Blue,配色1 水晶蓝色系
FashionableGray,配色1 时尚灰色系
Candy,配色1 糖果色系
Coral,配色1 珊瑚色系
Lavender,配色1 紫罗兰色系
Emerald,配色1 绿野仙踪色系
RoseGold,配色1 玫瑰金色系
Sky Blue,配色1 浅蓝色系
Burgundy,配色1 酒紅色系
SunsetGradient,配色1 日暮色系
Turquoise,配色1 土耳其蓝色系
MintGreen,配色1 薄荷绿色系
Maple Red,配色1 枫叶红色系
Macarons,配色1 马卡龙色
MutedTones,配色2 莫兰迪色系
Titanium,配色2 钛金属色系
Fresh Fruits,配色2 鲜果色系
Gold and silver tones,配色2 金银色调
Black background centered,配色2 黑色背景为中心
Multi color matching,配色2 多色彩搭配
Low purity tone,配色2 低纯度色调
High purity tone,配色2 高纯度色调
tints,配色2 淡色调
contrast ratio,配色2 对比度
POP art,配色2 波普艺术
Snow Mountain Blue Series,配色2 雪山蓝色系
Laser candy paper color,配色2 镭射糖果纸色
Memphis color scheme,配色2 孟菲斯色系
Mondrian color scheme,配色2 蒙德里安色系
Dunhuang color system,配色2 敦煌色系
Matisse color scheme,配色2 马蒂斯色系
Klein Blue,配色2 克莱因蓝
Hermes Orange,配色2 爱马仕橙
tiffany blue,配色2 蒂芙尼蓝
Chinese Red,配色3 中国红
Peacock Green,配色3 孔雀绿
Tixiang Red,配色3 提香红
Turquoise color,配色3 只此青绿
Malta Blue,配色3 马耳他蓝
Mars Green,配色3 马尔斯绿
chrome toxtures,材质1 铬合金的质感
futuristic polished surfaces,材质1 未来主义抛光面
fluorescent neon colours,材质1 荧光色的霓虹灯
metallic textures and rigidity,材质1 金属般的质感和刚性感
cold metallic textured robotic arms,材质1 冰冷金属纹理的机械臂
high-tech gas-absorbing materials,材质1 高科技气体吸附材料
micro and nano materials,材质1 微纳米材料
artificial leather,材质1 人造皮革
transparent textures of translucent glass,材质1 通透玻璃透明质感
cotton material,材质1 棉花材质
cold metallic textures,材质1 冰冷金属感
composite materials Glossy surfaces,材质1 复合材料光泽感
heat-resistant ceramic materials,材质1 抗热陶瓷材料
futuristic plastic cases,材质1 未来主义塑料外壳
textured metal alloys,材质1 金属合金纹理感
protective cases for high-tech devices,材质1 高科技设备的保护套
transparent polymers,材质1 透明高分子材料
futuristic textiles,材质1 未来主义纺织品
metallic textured robotic arms,材质1 金属纹理的机械臂
silver metallic surfaces,材质1 银色金属表面
non-slip textures for charging devices,材质2 充电设备防滑质感
Metallictexture,材质2 金属质感
Pearl luster textur,材质2 珠光质感
Leather texture,材质2 皮革质感
Crystal texture,材质2 水晶质感
Mattetexture,材质2 亚光质感
Silk texture,材质2 绸缎质感
Waterwavetex,材质2 水波纹质感
Bambootexture,材质2 竹子质感
Porcelain,材质2 瓷器
Enamel,材质2 珐琅
Metallic paint te,材质2 金属漆质感
Carved texture,材质2 雕刻质感
Velvet,材质2 天鹅绒
Sandy texture,材质2 沙质
Antiaue bronze te:,材质2 古铜质感
Paint texture,材质2 油漆质感
Clay texture,材质2 粘土质感
Decaved,材质2 腐朽衰败的
Cotton,材质2 棉花
Stonetexture,材质3 石质
Glass texture,材质3 玻璃质感
Cottontexture,材质3 棉质
Plastictexture,材质3 塑料质感
pearl texture,材质3 珍珠质感
Fluffy texture,材质3 毛绒质感
Graphitetexture,材质3 石墨质感
Tissue paper,材质3 薄纸巾
Celadon,材质3 青瓷
Fur texture,材质3 皮毛质感
Lace,材质3 蕾丝
Sandstone,材质3 砂岩
Ceramic texture,材质3 陶瓷质感
Brick texture,材质3 砖石质感
Gauzetexture,材质3 纱绸质感
Mycelium,材质3 菌丝
Skeletal,材质3 骨骼状
Glass,材质3 玻璃
Linen,材质3 亚麻布
CG style,风格1 CG风格
Immersive design,风格1 沉浸式设计
jojo's bizarre adventure,风格1 Jojo的奇妙冒险
Light-electric Style,风格1 光电风格
Mechanical Style,风格1 机械风格
psychadelic art style,风格1 迷幻艺术风格
paper sculptures,风格1 纸雕塑风格
Ukiyo-e style,风格1 浮世绘风格
oil painting style,风格1 油画风格
Makoto Shinkai's style,风格1 新海诚风格
Ancient Chinese style,风格1 中国古风风格
Emiliano Ponzi style,风格1 埃米利亚诺·庞齐
minimalist style,风格1 极简风格
retro vintage comic style,风格1 复古老漫画风格
children's picture book,风格1 儿童绘本
Blind box style,风格1 盲盒风格
Pixar's style,风格1 皮克斯风格
Miyazaki Hayao style,风格1 宫崎骏风格
Makoto Shinkai,风格1 新海诚
Watercolor children's illustration,风格1 水彩儿童插画
Disney-style,风格2 迪士尼风
doodle,风格2 涂鸦
Lolita,风格2 洛丽塔风格
Anime,风格2 日本动画片
Japanese comics/manga,风格2 日本漫画风格
Japanese Ukiyo-e,风格2 浮世绘
Ink Wash Painting Style,风格2 水墨风格
Tradition Chinese Ink Painting,风格2 中国传统水墨画
Hollywood-style,风格2 电影风格
Cinematography style,风格2 电影摄影风格
Miniature movie style,风格2 微缩模型电影风格
Modern-style,风格2 现代风格
Minimalism,风格2 极简主义
character concept art,风格2 角色概念艺术
Game scene graph,风格2 游戏场景图
painting,风格2 油画
Modern Minimalist,风格2 现代简约风格
Surrealism,风格2 超现实主义
concept art,风格2 概念艺术
Steampunk,风格2 蒸汽朋克
retro dark vintage,风格3 复古黑暗
Vintage,风格3 古着
Cyberpunk-style,风格3 赛博朋克风格
futuristic,风格3 未来主义
Victorian,风格3 维多利亚时代
Neoclassical,风格3 新古典主义
Country style,风格3 乡村风格
90s video game,风格3 90年代电视游戏
Pokémon,风格3 宝可梦
League of legends,风格3 英雄联盟
AFK Arena,风格3 剑与远征
Detroit: Become Human,风格3 底特律:变人
botw,风格3 旷野之息
8、16、24 bit,风格3 8、16、24像素风
Animal Crossing,风格3 动物森友会
Assassin's Creed,风格3 刺客信条
Blade and Soul,风格3 剑灵
Cyberpunk 2077,风格3 赛博朋克2077
Genshin Impact,风格3 原神
Game of Thrones,风格3 权力的游戏
Minecraft,风格4 我的世界
Overwatch,风格4 守望先锋
Sailor Moon,风格4 美少女战士
Carving Art,风格4 雕刻艺术风格
Flat design,风格4 扁平化设计
Skeuomorphism,风格4 拟物化设计
Handwriting style,风格4 手写风格
Gothic-style,风格4 哥特式
full details,风格4 哥特式黑暗
Rococo,风格4 洛可可
Science fiction,风格4 科幻
Mystictantasy,风格4 神秘幻想
Pearl Milk Tea stvle,风格4 珍珠奶茶风格
Claude Monet,风格4 克芳德莫奈
ink illustration,风格4 水墨插画
Traditional culture,风格4 传统文化
posterotjapanese design,风格4 日本海报风格
SoejimaShigenori,风格4 副岛成记
GhibliStudio,风格4 吉卜力风格
manga,风格4 漫画
Magic realism,风格5 魔幻现实
ACGN,风格5 二次元
Impressionism,风格5 印象派
children'sillustration,风格5 儿童插画
Hand-drawn stvle,风格5 手四格
Pixelart,风格5 像素风
CGSociety,风格5 梦工厂动画风格
Pixar,风格5 皮克斯
flm photography,风格5 剪辑
Leonardo Da Vinci,风格5 达芬奇
Magic Realism Style,风格5 魔幻现实主义风格
realistic,风格5 真实的
hyperrealism,风格5 超写实主义
pointilism,风格5 点彩派
quiltedart,风格5 绗缝艺术
colorink on paper,风格5 紙本彩色墨水
Yamada Akihiro,风格5 山田章博
jojo'sbizarre adventure,风格5 Jolo的奇妙冒险
Japanese-style,风格5 日本风格
stock illustration style,风格5 童话故事书插图风格
Abstract Art,风格6 抽象表现主义
Cubism,风格6 立体派
Cartoon,风格6 卡通
Fairytalestyle,风格6 童话风格
Voynich manuscript,风格6 伏尼契手稿
Pulp Noir,风格6 黑白电影时期
Baroque,风格6 巴洛克时期
frenchart,风格6 法国艺术
VincentVanGogh,风格6 梵高
Game-style,风格6 游戏风格
3D,风格6 3D风格
Warframe,风格6 星际战甲
cinematic,风格6 电影般的
Great Wall of China,地标1 中国长城
Eiffel Tower, France,地标1 法国埃菲尔铁塔
Statue of Liberty, USA,地标1 美国自由女神像
Pyramids of Egypt,地标1 埃及金字塔
Christ the Redeemer, Brazil,地标1 巴西基督像
Red Square, Russia,地标1 俄罗斯红场
Leaning Tower of Pisa, Italy,地标1 意大利斜塔
Chichen Itza, Mexico,地标1 墨西哥尤卡坦半岛奇琴伊察古城
Mount Fuji, Japan,地标1 日本富士山
N Seoul Tower, South Korea,地标1 韩国首尔塔
Big Ben, United Kingdom,地标1 英国大本钟
Sagrada Familia, Spain,地标1 西班牙巴塞罗那圣家堂
The White House, USA,地标1 美国白宫
Luxor Temple, Egypt,地标1 埃及卢克索神庙
Forbidden City, China,地标1 中国故宫
Christ the Redeemer, Rio de Janeiro, Brazil,地标1 巴西里约热内卢基督山
Golden Temple, India,地标1 印度金色寺
Louvre Museum, France,地标1 法国卢浮宫
Acropolis of Athens, Greece,地标1 希腊雅典卫城
Moscow Kremlin, Russia,地标1 俄罗斯克里姆林宫
Panama Canal, Panama,地标2 巴拿马运河
Machu Picchu, Peru,地标2 秘鲁马丘比丘
Roman Colosseum, Italy,地标2 意大利罗马斗兽场
Karnak Temple, Egypt,地标2 埃及卡纳克神庙
Empire State Building, USA,地标2 美国帝国大厦
Tower Bridge, London, UK,地标2 英国伦敦塔桥
Alhambra, Spain,地标2 西班牙阿尔罕布拉宫
India Gate, India,地标2 印度印度门
Matterhorn, Switzerland,地标2 瑞士马特洪峰
Ubud Palace, Bali, Indonesia,地标2 印尼巴厘岛乌布皇宫
Mexico City Metropolitan Cathedral, Mexico,地标2 墨西哥墨西哥城主教座堂
Great Barrier Reef, Australia,地标2 澳大利亚大堡礁
Tokyo Tower, Japan,地标2 日本东京塔
Abu Simbel Temples, Egypt,地标2 埃及阿布辛贝神庙
Santorini, Greece,地标2 希腊圣托里尼岛
Grand Palace, Bangkok, Thailand,地标2 泰国曼谷大皇宫
Las Vegas Strip, USA,地标2 美国拉斯维加斯赌城
Florence Cathedral, Italy,地标2 意大利佛罗伦萨大教堂
Kinderdijk Windmills, Netherlands,地标2 荷兰风车村
Hagia Sophia, Istanbul, Turkey,地标2 土耳其圣索菲亚大教堂
Iguazu Falls, Brazil/Argentina,地标3 巴西伊瓜苏大瀑布
Black Church, Brasov, Romania,地标3 罗马尼亚布拉索夫黑教堂
Palace of Versailles, France,地标3 法国凡尔赛宫
Temple of Heaven, Beijing, China,地标3 中国天坛
Sydney Opera House, Australia,地标3 澳大利亚墨尔本大剧院
Palaces of India,地标3 印度宫殿
Kapellbrücke, Lucerne, Switzerland,地标3 瑞士卢塞恩卡佩尔桥
Mount Vesuvius, Italy,地标3 希腊梅地特拉尼火山
Isabela Island, Galapagos, Ecuador,地标3 埃及伊莎贝拉岛
Hollywood Walk of Fame, Los Angeles, USA,地标3 美国洛杉矶好莱坞星光大道
Stonehenge, UK,地标3 英国巨石阵
St. Petersburg, Russia,地标3 俄罗斯圣彼得堡彼得堡大教堂
Eiffel Tower, Paris, France,地标3 法国巴黎艾菲尔铁塔
Milan Cathedral, Italy,地标3 意大利米兰大教堂
Golden Temple, Amritsar, India,地标3 印度金寺
Sydney Tower, Australia,地标3 澳大利亚悉尼塔
Statue of Liberty, New York, USA,地标3 美国纽约自由女神像
Bibliotheca Alexandrina, Alexandria, Egypt,地标3 埃及亚历山大图书馆
Palace of the Parliament, Bucharest, Romania,地标3 罗马尼亚布加勒斯特人民宫
City of Arts and Sciences, Valencia, Spain,地标3 西班牙巴伦西亚艺术与科学城
Potala Palace, Lhasa, China,地标4 中国布达拉宫
Taj Mahal, India,地标4 泰国泰姬陵
Cave of the Crystals, Mexico,地标4 墨西哥图伯灵水晶洞
Paro Taktsang, Bhutan,地标4 巴西帕努
Tokyo Imperial Palace, Japan,地标4 日本日光东照宫
Burj Khalifa, Dubai, UAE,地标4 阿联酋迪拜哈利法塔
Louvre Museum, Paris, France,地标4 法国巴黎卢浮宫
Karabar Palace, India,地标4 印度卡拉伯尔宫
Mount Fitz Roy, Patagonia, Argentina/Chile,地标4 意大利维特魔山
Sydney Harbour Bridge, Australia,地标4 澳大利亚悉尼海港大桥
Lighthouse of Alexandria, Egypt,地标4 埃及亚历山大港灯塔
Times Square, New York, USA,地标4 美国纽约时代广场
Windsor Castle, UK,地标4 英国温莎城堡
Cathedral of the Annunciation, Moscow, Russia,地标4 俄罗斯克里姆林宫大教堂
Arc de Triomphe, Paris, France,地标4 法国巴黎凯旋门
Colosseum, Rome, Italy,地标4 意大利斗兽场
Notre-Dame Cathedral, Paris, France,地标4 法国巴黎圣母院
State Hermitage Museum, St. Petersburg, Russia,地标4 俄罗斯圣彼得堡冬宫
National Museum of Anthropology, Mexico City, Mexico,地标4 墨西哥墨西哥城博物馆
Niagara Falls, Canada/USA,地标4 加拿大尼亚加拉瀑布
Roman Baths, Bath, UK,地标5 英国巴斯罗马浴场
Seville Cathedral, Spain,地标5 西班牙塞维利亚大教堂
Liberty Island, USA,地标5 美国自由岛
Florence Basilica of Santa Croce, Italy,地标5 意大利佛罗伦萨圣十字大教堂
Amber Fort, India,地标5 印度琥珀堡
Chi Wen,山海经1 螭吻
White Tiger,山海经1 白虎
Xuan Wu,山海经1 玄武
Kirin,山海经1 麒麟
Vermilion Bird,山海经1 朱雀
Phoenix,山海经1 凤凰
Nine-Tailed Fox,山海经1 九尾狐
Azure Dragon,山海经1 青龙
Unicorn,山海经1 独角兽
Golden Lion,山海经1 金狮
Taotie,山海经1 饕餮
Suan Ni,山海经1 狻猊
Dragon Tortoise,山海经1 龙龟
Cyclops,山海经1 独眼兽
Plum Mountain,山海经1 梅山
Bi Xi,山海经1 赑屃
Meng Huo,山海经1 孟获
Jin Jing,山海经1 金睛兽
Yu the Great,山海经1 大禹
Thunder God,山海经1 雷公
Fire Lion,山海经2 火狻
Big-Headed Monster,山海经2 大头怪
Giant Moth,山海经2 巨蝥
Thunderclap,山海经2 霹雳
Sea Demon,山海经2 海魔
River God,山海经2 江神
River Lord,山海经2 河伯
Eastern Emperor,山海经2 东皇
Queen Mother of the West,山海经2 西王母
Southern Land,山海经2 南国
Northern Land,山海经2 北地
Ghost General,山海经2 鬼将
Peach Blossom Spirit,山海经2 桃花精
Macaque,山海经2 猕猴
Vermilion Reptile,山海经2 朱厌
Sea Nymph,山海经2 海妖
Water Monster,山海经2 水怪
Mist Spirit,山海经2 岚灵
Tear Stone,山海经2 泪石
White-Headed Man,山海经2 白头翁
Five-Legged Beast,山海经3 五足兽
Wind God,山海经3 风伯
Sky General,山海经3 天将
Thunderbolt,山海经3 雷霆
Lightning Mother,山海经3 电母
Firebird,山海经3 火鸟
Fish Monster,山海经3 鱼怪
Horse-Like Beast,山海经3 走马狻
Sea Dragon,山海经3 蛟龙
Giant Bird,山海经3 巨鸟
Mountain Spirit,山海经3 岳灵
Rain Master,山海经3 雨师
Purple Fiend,山海经3 紫煞
Mountain Tortoise,山海经3 山甲兽
Big-Horned Monster,山海经3 大角怪
White Wolf,山海经3 白狼
Copper Deer,山海经3 铜獐
Purple Tapir,山海经3 紫貘
Crab Monster,山海经3 螃蟹怪
Thousand-Legged Insect,山海经3 千足虫
Nine Infants,山海经4 九婴
Man-Eating Monster,山海经4 噬人怪
Iron-Plated Lizard,山海经4 铁甲蜥蜴
Golden-Eyed Monster,山海经4 金睛怪
Yellow Dragon,山海经4 黄龙
Black Camel,山海经4 黑骆驼
Spider Monster,山海经4 蜘蛛怪
Scorpion Monster,山海经4 蝎子怪
Serpent Demon,山海经4 蛇妖
Mountain Horse,山海经4 山马
Ghost Crab Monster,山海经4 鬼蟹怪
White-Mouthed Monster,山海经4 白嘴怪
Yaksha,山海经4 夜叉
Ox-Headed Monster,山海经4 牛头怪
Dog-Faced Monster,山海经4 狗面怪
Fusion Beast,山海经4 融合兽
Fire Rhinoceros,山海经4 火犀兽
Camel Monster,山海经4 骆驼怪
Serpent-Necked Monster,山海经4 蛇颈怪
Carp Monster,山海经4 鲤鱼怪
Green Snake Monster,山海经5 青蛇怪
Three-Legged Bird,山海经5 三足鸟
Mountain Nymph,山海经5 山灵
galaxy,场景1 银河
nebula,场景1 星云
overgrown nature,场景1 杂草丛生的
Futuristicmetropolis,场景1 未来都市
Magical castle,场景1 魔法城堡
Industrial citvscape,场景1 工业城市
Floatingcity,场景1 浮空城市
Futuristiclaboratory,场景1 末来实验室
Robot factory,场景1 机器人工厂
Mystic mountain,场景1 神秘山脉
Cyberpunk city,场景1 赛博朋克城市
Haunted forest,场景1 鬼屋森林
Surreal landscape,场景1 超现实主义风景
Steampunk citvscape,场景1 蒸汽朋克城市
Maqical forest,场景1 魔洪森林
desertedcitybuildings,场景1 废弃城市建筑群
streetscenery,场景1 街景
universe,场景1 宇宙
in the morning fog,场景1 在晨雾中
cyberpunkstreet,场景1 赛博朋克街道
ancientruins,场景2 古代遗迹
steampowered,场景2 月球殖民地
machinery,场景2 蒸汽动力机械
abandonedspaceship,场景2 废弃宇宙飞船
Alien planet,场景2 外星球
Steampunk Factory,场景2 蒸汽朋克工厂
MushroomForest,场景2 蘑菇森林
Magical Kingdom,场景2 魔法王国
Dark Forest,场景2 黑暗森林
Lostruins,场景2 迷失废墟
Tropical paradise,场景2 热带天堂
Post-apocalvptic wasteland,场景2 后世界荒野
StarryNight,场景2 星空夜景
Dicital Universe,场景2 数字宇宙
Spaceship,场景2 宇宙飞船
Mystical Forest,场景2 神秘森林
Crvstal palace,场景2 水晶宫殿
Sunken Shipwreck,场景2 沉船遗迹
postapocalvptic,场景2 后启示录、末日后
Mythical world,场景2 神活世界
Magical Forest,场景3 魔幻森林
VolcanicEruption,场景3 火山喷发
GiantMachines,场景3 巨大机器
StarWars,场景3 星球大战
Enchanted Forest,场景3 魔法森林
mad max,场景3 疯狂麦斯沙地风格
Underwaterworld,场景3 水下世界
Enchanted garden,场景3 廉法花园
Dreamyclouds,场景3 梦幻云彩
Red planet,场景3 火星
Time travel citvscape,场景3 时光穿越城市
Cyber jungle,场景3 赛博朋克丛林
Dvstopianfuture,场景3 反乌托邦末来
Extraterrestrial landscape,场景3 外星地貌
Medieval castle,场景3 中世纪城堡
Crystal cave,场景3 水晶洞穴
Apocalvoticcitv,场景3 世界末日城市
Fantasy village,场景3 奇幻村庄
nearfuturecity,场景3 近未来都市
Alchemy Laboratory,场景3 嫁金室
rain,场景4 两天
fullofsunlight,场景4 充满阳光
Mystic temple,场景4 神秘寺店
Desert oasis,场景4 沙漠绿洲
whimsically,场景4 异想天开
tantasy,场景4 幻想
Mysterious Tomb,场景4 神秘古墓
Futuristic park,场景4 未来公园
Giant Architecture,场景4 巨大建筑
Rainy City,场景4 雨天城市
Fairy Tale Castle,场景4 童话城堡
Post-Apocalvptic world,场景4 后启示录世界
Dystopian Landscape,场景4 反乌托邦景观
Lunarlandscape,场景4 月球景观
Ice kingdom,场景4 冰雪王国
AuroraBorealis,场景4 极光北极
CyberpunkAlley,场景4 暴走机甲小巷
GothicCathedral,场景4 哥特式大教堂
Surreal Dreamland,场景4 超现实梦境
Skyisland,场景4 天空岛屿
DesolateDesert,场景5 荒漠孤烟
Cactus Desert,场景5 仙人堂冰漠
Castleinthesky,场景5 天空之城
OuterSpace,场景5 外太空
Ancient Temple,场景5 古代神庙
Romantic Town,场景5 浪漫小镇
doomsdayruins,场景5 末日废墟
MarsExploration,场景5 火星探险
Technological City,场景5 科技城市
Neoncity,场景5 霓虹城市
Underworld,场景5 冥界
Toplight,照明1 顶光
Rimlight,照明1 轮廓光
Morning light,照明1 晨光
Sunlight,照明1 太阳光
Golden hour light,照明1 黄金时段光
bright,照明1 明亮的
Dreamy haze,照明1 梦幻雾气
Mistyfoggy,照明1 雾气朦胧
BBrutal,照明1 残酷的
dramatic contrast,照明1 强烈对比的
unreal engine 5 UE5,照明1 效果
Cinematic light,照明1 电影光
Volumetric light,照明1 立体光
Studiolight,照明1 影棚光
Reflection effect,照明1 反射
Shadow effect,照明1 阴影效果
Natural light,照明1 自然光
Raking light,照明1 侧光
Edgelight,照明1 边缘光
Hard light,照明1 硬光
Rembrandt Lighting,照明2 伦勃朗照明
Split Lighting,照明2 分体照明
front lighting,照明2 前灯
Vibrant color,照明2 鲜艳色彩
clean background trending,照明2 干净的背景趋势
Serene calm,照明2 安静恬淡
rimlights,照明2 边缘灯
globalilluminations,照明2 全局照明
soft lights,照明2 柔光
Romantic canclelight,照明2 浪漫烛光
Electric fash,照明2 电光闪烁
clnematic lighting,照明2 电影灯光
Rembrandt light,照明2 伦勃朗光
mappinglight,照明2 映射光
atmospheric lighting,照明2 气氛照明
volumetriclighting,照明2 体积照明
moodlighting,照明2 情绪照明
soft light,照明2 柔软的光线
Etherealmist,照明2 仙气缭统
Warm glow,照明2 温暖光辉
Moody atmosphere,照明3 忧郁氛围
Soft moonlight,照明3 柔和月光
rays of shimmering light,照明3 微光
CrepuscularRax,照明3 黄昏射线
outerspaceview,照明3 外太空观
Intense baclksiohnt,照明3 經逆光
Shimmering light,照明3 闪光灯光
bisexual lighting,照明3 双性照明
Soft illuminaotion,照明3 柔和的照明
Projection effect,照明3 投影
fuorescent lighting,照明3 荧光灯
beautiful lighting,照明3 好看的灯光
yrayvray,照明3 渲染效果
Dramatic lighting,照明3 戏剧灯光
Cold light,照明3 冷光
Warmlight,照明3 暖光
hard lighting,照明3 强光
dramalight,照明3 戏剧光
Shade,照明3 色光
Cyberpunk light,照明3 赛博朋克光
Stark shadows,照明4 明暗分明
Moody darkness,照明4 黑暗氛围
Harsh contrast,照明4 高对比度
Back lighting,照明4 背光照明
Bright highlights,照明4 明亮高光
winkling stars,照明4 闪耀星空
SSoft candlelight,照明4 柔和烛光
red,颜色1 红
purple,颜色1 紫
green,颜色1 绿
yellow,颜色1 黄
white,颜色1 白
black ,颜色1 黑
brown ,颜色1 棕
blue,颜色1 蓝
gray,颜色1 灰
orange,颜色1 橙
blackbackground centered,颜色1 黑色背景居中
whiteandgreentones,颜色1 白色和绿色调
red and black tones,颜色1 红色和黑色调
yellowandblack tones,颜色1 黄色和黑色调
Goldandsilvertones,颜色1 金金色和银色调
neonshades,颜色1 霓虹色调
Bright Orange,颜色1 亮丽橙色系
loryWhite,颜色1 象牙白色系
Natural Green,颜色1 自然绿色系
Luxurious Gold,颜色1 奢华金色系
Steady Blue,颜色2 稳重蓝色系
DenimBlue,颜色2 丹宁蓝色系
Black and White,颜色2 黑白灰色系
Minimalist Black and White,颜色2 极简黑白色系
WarmBrown,颜色2 温暖棕色系
Soft Pink,颜色2 柔和粉色系
shine,颜色2 发光
holy light,颜色2 圣光
starflash,颜色2 星闪
reflections,颜色2 反射透明彩虹色
Rule of Thirds,构图1 三分法
Symmetry,构图1 对称
Leading Lines,构图1 引导线
Isolation,构图1 孤立
Contrast,构图1 对比
centerthecomposition,构图1 中心构图
Horizontal composition,构图1 横向构图
Symmetrical composition,构图1 对称构图
Rule of Thirds composition,构图1 三分法构图
Diagonal composition,构图1 对角线构图
Dynamicsymmetrycomposition,构图1 动态对称构图
Converginglinescomposition,构图1 汇聚线条构图
Vanishing point composition,构图1 消失点构图
Point of view composition,构图1 视角构图
Repetition composition,构图1 重复构图
Contrast composition,构图1 对比构图
lsolation composition,构图1 孤立构图
split complementarycomposition,构图1 分割互补构图
Mise-en-scene composition,构图1 布景构图
Wide view,构图1 宽景
Front view,构图2 正面
Macroshot,构图2 微距
Portrait,构图2 肖像
Profile,构图2 侧面
