Hyper Real,主题1超真实
Glass Paint,风格4玻璃涂料
Fine Art,风格4美术
Gond Painting,风格4贡德绘画
Gouache Paint,风格4水粉颜料
Graffiti,风格4涂鸦
Hard Edge Painting,风格4硬边涂漆
Impasto,风格4Impasto公司
Hydro Dipping,风格4水力浸渍
Japanese Painting,风格4日本绘画
Kalamkari Painting,风格4卡拉姆卡里绘画
Madhubani Painting,风格5马杜巴尼绘画
Matte Painting,风格5数字绘景
Modern Art,风格5现代艺术
Oil Paint,风格5油画
Mural,风格5壁画
Painting,风格5绘画
Paintwork,风格5绘画作品
Paper Marbling,风格5纸张大理石花纹
Puffy Paint,风格5蓬松的油漆
Phad Painting,风格5Phad绘画
Rock Art,风格5摇滚艺术
Romanesque Painting,风格5罗马式绘画
Sandpainting,风格5沙画
Scroll Painting,风格5卷轴绘画
Speedpainting,风格5快速喷漆
Splatter Paint,风格5飞溅油漆
Spray ,风格5喷雾
Stencil Graffiti,风格5模板涂鸦
Still Life,风格5静物
Street Art,风格5街头艺术
Warli Painting,风格5瓦力绘画
Tibetan Painting,风格5藏画
Watercolor,风格5水彩
Wet Paint,风格6湿漆
Ukiyo e art,风格6浮世绘艺术
watercolor painting,风格6水彩画
ghibli style,风格6吉利风格
vinyl figure,风格6乙烯基图案
illustration by Beatrix potter,风格6贝娅特丽克丝·波特插图
palette knife painting,风格6调色刀绘画
pixar style,风格6像素样式
cartoon style,风格6卡通风格
die cut out sticker,风格6模切贴纸
in Kyoto Animation style,风格6京都动画风格
in the style of mike winkelmann,风格6以迈克·温克尔曼的风格
in the style of rolf armstrong: fractal,风格6以罗尔夫·阿姆斯特朗的风格：分形
painted in traditional French art style,风格6以法国传统艺术风格绘画
Eiichiro Oda style,风格6小田荣一郎风格
by alberto vargas and h.r. giger,风格6阿尔伯托·瓦尔加斯和h·r·吉格
by Andrey Remnev,风格6安德烈·雷姆涅夫
by Gustav Klimt,风格6古斯塔夫·克里姆特
art by Atey Ghailan,风格6阿特·盖兰艺术
Chinoiserie风格6中国风
photo风格7照片
Digital art风格7数字艺术
IKEA style风格7宜家风
Comic book风格7漫画书
Baroque 风格7巴洛克
Impressionism Art风格7印象派艺术
Portrait Art Style风格7肖像艺术风格
instructions风格7说明书
newspaper风格7报纸
Movie Poster风格7电影海报
Surrealism风格7超现实主义
Pixel Art Style风格7像素艺术风格
Mural art风格7壁画艺术
Art Nouveau风格7新艺术运动
mosaic风格7马赛克
magazine风格7杂志
realism风格7写实主义
3D rendering风格73D渲染
Dark Atmosphere,氛围1黑暗的气氛
Reflective Atmosphere,氛围1反光氛围
Enchanting Atmosphere,氛围1迷人的气氛
Mystical Atmosphere,氛围1神秘的气氛
Whimsical Atmosphere,氛围1异想天开的气氛
Enigmatic Atmosphere,氛围1空灵的气氛
Tranquil Atmosphere,氛围1宁静的氛围
Relaxing Atmosphere,氛围1放松的氛围
Blissful Atmosphere,氛围1幸福的氛围
Moody Atmosphere,氛围1喜怒无常的气氛
Intense Atmosphere,氛围1紧张的气氛
Nostalgic Atmosphere,氛围1怀旧的气氛
Industrial Atmosphere,氛围1工业氛围
Gothic Atmosphere,氛围1哥特氛围
Light Atmosphere,氛围1光亮氛围
Hazy Atmosphere,氛围1朦胧氛围
Dreamy Atmosphere,氛围1梦幻氛围
Playful Atmosphere,氛围1俏皮氛围
Mysterious Atmosphere,氛围1诡秘的气氛
Mellow Atmosphere,氛围1柔和的气氛
Calm Atmosphere,氛围2平静的气氛
Mystical Atmosphere,氛围2和平的氛围
Sophisticated Atmosphere,氛围2复杂的氛围
Zen Atmosphere,氛围2禅意氛围
Chill Atmosphere, ,氛围2寒冷的氛围
Melancholic Atmosphere,氛围2犹豫的氛围
Festive Atmosphere,氛围2节日氛围
Rustic Atmosphere,氛围2乡村的气氛
Romantic Atmosphere,氛围2浪漫的氛围
lens flare,灯光1透镜光斑
backlighting,灯光1背光
sparkle,灯光1闪烁
bokeh,灯光1散焦
caustics,灯光1焦散
chiaroscuro,灯光1明暗对照
anaglyph,灯光1浮雕
cinematic lighting,灯光1电影照明
ray tracing,灯光1射线追踪
god rays,灯光1神射线
glowing,灯光1发光的
violet,灯光1紫罗兰
neon,灯光1霓虹的
indigo,灯光1靛蓝
yellow,灯光1黄的
blue,灯光1蓝色
reflection,灯光1反射
studio lighting,灯光2工作室照明
film lighting,灯光2电影照明
beautiful lighting,灯光2美丽的灯光
Soft illumination,灯光2柔和照明
dramatic lighting,灯光2戏剧性的照明
Volumetric lighting,灯光2体积光
mood lighting,灯光2氛围光
rim lights,灯光2轮廓照明
Back lighting,灯光2背光
Split Lighting,灯光2高对比侧光
Rembrandt Lighting,灯光245°侧光
bioluminescence,灯光2生物发光
Crepuscular Ray,灯光2上帝光
rays of shimmering light,灯光2微光
David Chipperfield,导演1大卫·奇普菲尔德
Norman Foster,导演1诺曼·福斯特
Antoni Gaudi,导演1安东尼·高迪
Michael Graves,导演1格雷夫斯
Zaha Hadid,导演1扎哈·哈迪德
Victor Horta,导演1维克多·奥尔塔
Toyo Ito,导演1伊藤丰雄
Rem Koolhaas,导演1雷姆·库哈斯
Daniel Libeskind,导演1丹尼尔·利伯斯金
Richard Meier,导演1理查德·迈耶
Jean Nouvel,导演1让·努维尔
Renzo Piano,导演1伦佐·皮亚诺
Eero Saarinen,导演1埃罗·萨里宁
Harry Seidler,导演1哈里·塞德勒
Paolo Soleri,导演1保罗·索莱里
James Stirling,导演1斯特林
Kenzo Tange,导演1丹戈贤三
Robert Venturi,导演1罗伯特·文丘里
Peter Zumthor,导演1卒姆托
Frank Lloyd Wright,导演1弗兰克·劳埃德·赖特
Tadao Ando,导演2安藤忠雄
Alejandro Aravena,导演2亚历桑德罗·阿拉维那
Ricardo Bofill,导演2里卡多·博菲尔
Vincent Callebaut,导演2文森特·卡勒鲍
Le Corbusier,导演2勒·柯布西耶
Buckminster Fuller,导演2富勒
Frank Gehry,导演2弗兰克·盖里
Walter Gropius,导演2沃尔特·格罗皮乌斯
Steven Holld,导演2史蒂文·霍尔德
Bjarke Ingels,导演2英格尔斯
Philip Johnson,导演2菲利普·约翰逊
Kengo Kuma,导演2隈研吾先生
Adolf Loos,导演2阿道夫·洛斯
Oscar Niemeyer,导演2奥斯卡·尼迈耶
Valerio Olgiati,导演2瓦莱里奥·奥尔贾蒂
Richard Rogers,导演2理查德罗杰斯
Moshe Safdie,导演2摩西·萨夫迪
Alvaro Siza,导演2阿尔瓦罗·西扎
Ettore Sottsass,导演2埃塔·索特萨斯
Louis Sullivan,导演2路易斯·沙利文
Woody Allen,建筑师1伍迪·艾伦
Wes Anderson,建筑师1韦斯·安德森
Dario Argento,建筑师1达里奥·阿根托
Mario Bava,建筑师1马力欧·巴瓦
Luc Besson,建筑师1吕克·贝松
Bong Joon Ho,建筑师1奉俊昊
Charlie Chaplin,建筑师1查理·卓别林
The Coen Brothers,建筑师1科恩兄弟
Xavier Dolan,建筑师1泽维尔·多兰
Clint Eastwood,建筑师1克林特·伊斯特伍德
Federico Fellini,建筑师1费德里科·费里尼
John Ford,建筑师1约翰·福特
Terry Gilliam,建筑师1特里·吉列姆
Michel Gondry,建筑师1米歇尔·冈瑞
Alfred Hitchcock,建筑师1阿尔弗雷德·希区柯克
Alejandro Jodorowsky,建筑师1亚历桑德罗·尤杜洛斯基
Stanley Kubrick,建筑师1寇比力克
Spike Jonze's workThe p,建筑师1斯派克·琼斯的作品
Akira Kurosawa,建筑师1黑泽明
Spike Lee,建筑师1斯派克·李
George Lucas,建筑师2乔治·卢卡斯
Terrence Malick,建筑师2泰伦斯·马力克
Takashi Miike,建筑师2三池隆史
Rachel Morrison,建筑师2雷切尔·莫里森
Christopher Nolan,建筑师2克里斯托弗·诺兰
Ray Harryhausen,建筑师2雷·哈里豪森
Roman Polanski,建筑师2罗曼·波兰斯基
Guy Ritchie,建筑师2盖·里奇
Ridley Scott,建筑师2雷德利·斯科特
Steven Spielberg,建筑师2史蒂文·斯皮尔伯格
Quentin Tarantino,建筑师2昆汀·塔伦蒂诺
Santosh Sivan,建筑师2萨多 思万
Paul Verhoeven,建筑师2保罗·范霍文
Ed Wood,建筑师2艾德·伍德
Karel Zeman,建筑师2卡雷尔·泽曼
Guillermo del Toro,建筑师2吉列尔莫·德尔·托罗
Bradford Young,建筑师2布拉福德·杨
Denis Villeneuve,建筑师2丹尼斯·维伦纽瓦
Johnnie To,建筑师2杜琪峰
Jan Svankmajer,建筑师2史云梅耶
Zack Snyder,建筑师3扎克·斯奈德
Martin Scorsese,建筑师3马丁·斯科塞斯
Tony Scott,建筑师3托尼·斯科特
Park Chan Wook,建筑师3朴赞郁
Emeric Pressburger,建筑师3普雷斯伯格
Sergei Parajanov,建筑师3谢尔盖·帕拉杰诺夫
F.W.Murnau,建筑师3F.W.Murnau公司
George Miller,建筑师3乔治·米勒
Russ Meyer,建筑师3鲁斯·梅耶
David Lynch,建筑师3大卫·林奇
Sergio Leone,建筑师3莱昂内
Kim Ki Duk,建筑师3金基杜克
Fritz Lang,建筑师3弗里茨·朗
Wong Kar wai,建筑师3王家卫
Takeshi Kitano,建筑师3北野武
Peter Jackson,建筑师3彼得·杰克逊
Jim Henson,建筑师3吉姆·亨森
Jean Luc Godard,建筑师3高达
Francis Ford Coppola,建筑师3弗朗西斯·福特·科波拉
David Fincher,建筑师3大卫·芬奇
Sergei Eisenstein,建筑师4爱森斯坦
Carl Theodor Dreyer,建筑师4卡尔·西奥多·德莱叶
Brian De Palma,建筑师4布莱恩·德·帕尔玛
Jean Cocteau,建筑师4让·科克托
John Cassavetes,建筑师4约翰·卡索维茨
James Bidgood,建筑师4詹姆斯·比德古德
Ingmar Bergman,建筑师4英格玛·伯格曼
Darren Aronofsky,建筑师4达伦·阿罗诺夫斯基
Paul Thomas Anderson,建筑师4保罗·托马斯·安德森
Pedro Almodovar,建筑师4阿莫多瓦
wide angle,镜头1广角
depth of field blur,镜头1景深模糊
depth of field,镜头1景深
macro lens,镜头1微距透镜
fisheye lens,镜头1鱼眼透镜
85mm long lens,镜头185mm长透镜
close up portrait,镜头1特写肖像
24mm wide angle lens,镜头124mm广角镜头
wide angle portrait,镜头1广角人像
70mm telephoto lens,镜头170mm长焦镜头
face close up,镜头1面部特写
14mm wide angle lens,镜头114mm广角镜头
panoramic landscape,镜头1全景景观
far close up,镜头1远特写
vignette,镜头1小插曲
high defintion,镜头1高清晰度
half face close up,镜头1半脸特写
gopro view,镜头1gopro视图
ultra wide angle,镜头1超广角
aerial view,镜头1鸟瞰图1
ultra wide angle,镜头2超广角
birds eye view,镜头2鸟瞰图2
low angle shot,镜头2低角度镜头
reference sheet,镜头2参考资料表
focus sharp,镜头2聚焦
full body,镜头2全身
Detail Shot(ECU),镜头2细节特写
Face Shot (VCU),镜头2脸部特写
Big Close Up(BCU),镜头2特写（头部以上）
Close Up(CU),镜头2特写（颈部以上）
Chest Shot(MCU),镜头2特写（胸部以上）
Waist Shot(WS),镜头2特写（腰部以上）
first person view,镜头2第一人称视角
A bird's eye view,镜头2鸟瞰图
Top view,镜头2俯视图
Bottom view,镜头2仰视图
cinematic shot,镜头2电影镜头
extreme long shot,镜头2大远景
long shot,镜头2远镜头
Mid shot,镜头2中镜头
extreme close up,镜头3极端特写
medium close up,镜头3中等特写
close up,镜头3特写
scenery shot,镜头3风景拍摄
satellite view,镜头3卫星视图
DSLR,镜头3DSLR
360 panorama,镜头3360全景
telephoto lens,镜头3长焦镜头
telephoto lens,镜头3长焦镜头
super wide angle,镜头3超广角
tilt shift,镜头3移轴摄影
depth of field (dof),镜头3景深
microscopic view,镜头3微观视图
super resolution microscopy,镜头3超分辨率显微镜
wind,魔法风
water magic,魔法水魔法
ink,魔法墨水
crystals,魔法晶体
fire,魔法火
ice,魔法冰
flame,魔法火焰
lightning,魔法闪电
web,魔法网状物
rocks,魔法岩石
sand,魔法沙
particles,魔法粒子
sparkles,魔法闪光
blood,魔法血
Paper Model,材质1纸张模型
Laser Cut,材质1激光切割
Agateware,材质1玛瑙瓦
Arts and Crafts,材质1工艺美术
Ancient Roman Mosaic,材质1古罗马马赛克
Ice Carving,材质1冰雕
Chinese Paper Art,材质1中国纸艺
Aquatint,材质1浅绿色
Assemblage ,材质1装配
Banner,材质1横幅
Azulejo,材质1阿祖列霍
Beads and String,材质1珠子和绳子
Beadwork,材质1珠饰
Bejeweled,材质1镶有珠宝
Bentwood,材质1边材
Bone China,材质1骨瓷
Cameo Glass,材质1喀麦隆玻璃
Card,材质1卡片
Carpentry,材质1木工
Carving,材质1雕刻
Chintzware,材质2棉布制品
Chip Carving,材质2芯片雕刻
Circuit,材质2环行
Coffee Stain,材质2咖啡污渍
Computer Chip,材质2计算机芯片
Confetti ,材质2五彩纸屑
Decal,材质2贴花
Decoupage,材质2拆卸
Diorama,材质2透视图
Drypoint,材质2干燥点
Egyptian Faience,材质2埃及信仰
Enamel Pin,材质2搪瓷针
Enameled Glass,材质2搪瓷玻璃
Encaustic Tile,材质2蜡染瓷砖
Engraved Gem,材质2雕刻的宝石
Etching,材质2蚀刻
Featherwork,材质2羽毛作品
Figurine,材质2小雕像
Frame,材质2框架
Fretwork,材质2Freetwork公司
Glass Mosaic,材质3玻璃马赛克
Glass Blowing,材质3玻璃吹制
Glass Etching,材质3玻璃蚀刻
Glaze,材质3釉
Hatmaking,材质3制帽
Hardstone Carving,材质3硬质石雕刻
Hedge Trimming,材质3树篱修剪
Installation Art,材质3装置艺术
Intarsia,材质3Intarsia公司
Intaglio,材质3凹版印刷术
Iris Folding,材质3虹膜折叠
Ironwork,材质3铁制品
Lacquer,材质3油漆
Kirigami,材质3基里加米
Land Art,材质3大地艺术
Lath Art,材质3Lath艺术
Leather Crafting,材质3皮革工艺
Latte Art,材质3拉花
Light Painting,材质3灯光绘画
Linocut,材质3林诺库特
Lithophane,材质4石斑菌属
Lustreware,材质4Lustreware公司
Marquetry,材质4马奎特里
Metalcut,材质4Metalcut公司
Micromosaic,材质4微卫星
Mezzotint,材质4Mezzotin公司
Minoan Mural,材质4米诺斯壁画
Model,材质4模型
Mosaic,材质4马赛克
Origami,材质4折纸
Overglaze,材质4上釉
Ornament,材质4装饰品
Papercutting,材质4剪纸
Paper Mache,材质4造纸机
Paper Colle,材质4纸夹
Photo collage,材质4照片拼贴
Pietra Dura,材质4彼得拉·杜拉
Photo gravure,材质4照相凹版
Projection Mapping,材质4投影映射
Puppet,材质4木偶
Pyrography,材质5高温照相术
Relief Carving,材质5浮雕
Salt Glaze Pottery,材质5盐釉陶器
Resin,材质5树脂
Scrapbooking,材质5相本美编
Scrimshaw,材质5斯克林肖
Sgraffito,材质5斯格拉菲托
Sculpture,材质5雕塑
Signage,材质5标志
Site Specific art,材质5现场特定艺术
Smoke Art,材质5烟雾艺术
Stencil,材质5模板
Stoneware,材质5石器
Sticker Bomb,材质5贴纸炸弹
String Art,材质5弦乐艺术
Tableware,材质5餐具
Tapestry,材质5壁毯
Tattoo,材质5纹身
Tie dye,材质5扎染
Tin Glazed Pottery,材质5锡釉陶器
Whittling,材质6惠特林
Underglaze,材质6釉下
Woodblock Print,材质6木版印刷
Wood Carving,材质6木雕
Woodcut,材质6木刻
3D Printed,材质63D打印
Bagh Print,材质6Bagh印花
Barcode,材质6条形码
Blueprint,材质6蓝图
Business Card,材质6名片
Concept Art,材质6概念艺术
Edge To Edge Photographic Print,材质6边对边摄影打印
IKEA Guide,材质6宜家指南
Instruction Manual,材质6使用说明书
Laser Printed,材质6激光打印
Logo,材质6标志
Monotype,材质6单体型
Newspaper,材质6报纸
Pop up Book,材质6弹出式书本
Poster,材质6招贴画
QR Code,材质7二维码
Sticker,材质7贴纸
Transfer Printing,材质7转移打印
Watermark,材质7水印
Album Art,材质7相册艺术
Bagru Print,材质7巴格鲁印花
Block Printing,材质7雕版印刷
Booklet,材质7小册子
Comic Book,材质7连环漫画杂志
Concert Poster,材质7上的海报
Flexography,材质7柔性版印刷术
Inkjet Printed,材质7喷墨打印
Kids Book,材质7儿童读物
Lithography,材质7石版印刷术
Magazine,材质7杂志
Movie Poster,材质7电影海报
Pokemon Card,材质7口袋妖怪卡
Postage Stamp,材质7邮票
Printed,材质7已打印
Risograph,材质7升程记录仪
Tarot Card,材质8塔罗牌
Underground Comix,材质8地下漫画
beach waves hair,发型1沙滩波浪发
blowout hair,发型1蓬松的头发
braided hairstyle,发型1辫子发型
bun hair,发型1发髻
crimped hair,发型1卷曲的头发
drill hair,发型1钻头毛
dutch braid,发型1荷兰编织物
fishtail braid,发型1鱼尾辫
fringe hair,发型1流苏
hair flaps,发型1发片
half up half down hairstyle,发型1半上半下发型
layered hair,发型1分层头发
lob hair,发型1lob毛
long hair,发型1长发
medium hair,发型1中等头发
messy hair,发型1头发乱了
ponytail,发型1马尾
prom hairstyle,发型1舞会发型
quiff hair,发型1蓬松的头发
razor cut hair,发型1剃光的头发
ringlets hair,发型2卷发
shag hair,发型2蓬松的头发
shaggy hair,发型2蓬松的头发
short hair,发型2短发
sleek hair,发型2光滑的头发
straight hair,发型2直发
textured hair,发型2有纹理的头发
twin drills hair,发型2双钻头头发
updo hairstyle,发型2高髻发型
waterfall braid,发型2瀑布辫
wavy hair,发型2波浪形头发
wedge cut hair,发型2楔形头发
clean shaven,发型2剃得干干净净的
comb over,发型2梳齿
drop fade,发型2渐变色
fade,发型2褪色
fade with beard,发型2胡须褪色
fade with goatee,发型2山羊胡子褪色
fade with mustache,发型2留胡子褪色
fade with sideburns,发型2鬓角渐变
french crop,发型3法国作物
goatee,发型3山羊胡子
high fade,发型3高衰减
layer cut,发型3分层切割
long beard,发型3大胡子
long hair,发型3长发
long mustache,发型3长胡子
low fade,发型3低衰减
medium hair,发型3中等头发
mid fade,发型3渐变中期
mustache,发型3胡子
mutton chops,发型3羊排
pompadour,发型3蓬帕杜
quiff,发型3小曲
razor cut,发型3剃刀式切割
scissor cut,发型3割切
shaggy hair,发型3蓬松的头发
shaved head,发型3剃光头
short back and sides,发型3短背和短边
short beard,发型3短胡子
short hair,发型4短发
short mustache,发型4短胡子
side part,发型4侧面部分
side swept fringe,发型4侧扫条纹
sideburns,发型4鬓角
slick back,发型4光滑的背部
spiky hair,发型4尖尖的头发
straight hair,发型4直发
taper fade,发型4渐变
temp fade,发型4温度衰减
textured crop,发型4纹理作物
textured fringe,发型4纹理条纹
thick beard,发型4浓密的胡须
thin beard,发型4薄须
long hair,发型4长发
short hair,发型4短发
bangs,发型4刘海
blonde hair,发型4金发
brown hair,发型4茶发
black hair,发型4黑发
hair between eyes,发型5眼间刘海
twintails,发型5双马尾
very long hair,发型5很长的头发
blue hair,发型5蓝发/水色发
ponytail,发型5马尾
purple hair,发型5紫发
pink hair,发型5粉发
braid,发型5辫子
ahoge,发型5呆毛
white hair,发型5白发
sidelocks,发型5耳前发
red hair,发型5红发
grey hair,发型5灰发
multicolored hair,发型5多彩头发
green hair,发型5绿发
blunt bangs,发型5齐刘海
medium hair,发型5中等长发
silver hair,发型5银发
hair bun,发型5团子头
hair over one eye,发型5头发遮住了一只眼睛
twin braids,发型6双辫子
shiny hair,发型6有光泽的头发
side ponytail,发型6侧马尾
two side up,发型6小型双股辫
streaked hair,发型6条染
parted bangs,发型6分开的刘海
single braid,发型6单辫
double bun,发型6双团子头
gradient hair,发型6渐变发色
floating hair,发型6漂浮的头发
swept bangs,发型6扫浏海
low twintails,发型6低扎双尾
one side up,发型6只扎了一边的头发
wavy hair,发型6自然卷
drill hair,发型6钻头卷/公主卷
hair intakes,发型6进气口发型
light brown hair,发型6浅褐发
bob cut,发型6波波头
antenna hair,发型6多根呆毛
high ponytail,发型6披在两侧的两条辫子
short twintails,发型7短双马尾
spiked hair,发型7刺刺的头发
messy hair,发型7凌乱发型
straight hair,发型7直发
hair flaps,发型7在摆动的头发
hair over shoulder,发型7披肩发
twin drills,发型7双钻头卷
side braid,发型7侧辫
french braid,发型7法式辫
low ponytail,发型7低扎马尾
low tied long hair,发型7直发
hair rings,发型7发圈
half updo,发型7侧发后梳
short ponytail,发型7短马尾
curly hair,发型7卷发
asymmetrical hair,发型7非对称发型 发型有显著的非对称部件
tied hair,发型7扎头发
folded ponytail,发型7折叠马尾
braided ponytail,发型7编织马尾辫
tentacle hair,发型7触手头发
crossed bangs,发型8交错刘海
colored inner hair,发型8内侧染色
hime cut,发型8姬发式
asymmetrical bangs,发型8不对称刘海
flipped hair,发型8外卷发型
absurdly long hair,发型8超长的头发
light blue hair,发型8浅蓝发
hair over eyes,发型8头发遮着双眼
hair behind ear,发型8耳后发
crown braid,发型8冠型织辫
wet hair,发型8湿头发
cone hair bun,发型8锥形发髻
bald,发型8秃头
very short hair,发型8很短的头发
undercut,发型8帽盔式发型
big hair,发型8头发很多的
front ponytail,发型8前马尾
hair slicked back,发型8垂下的长鬈发
huge ahoge,发型8大呆毛
pointy hair,发型8带着尖角的发型
hair pulled back,发型9头发后梳
braided bun,发型9辫子髻
long braid,发型9侧马尾
topknot,发型9丸子头
braided bangs,发型9辫子刘海
heart ahoge,发型9心形呆毛
side braids,发型9披在两侧的两条辫子
ringlets,发型9垂下的长鬈发
dark blue hair,发型9深蓝发
pompadour,发型9蓬帕杜发型
hair strand,发型9强调一缕一缕感的发型/发丝
multi tied hair,发型9多扎头发
single sidelock,发型9单耳前发
quad tails,发型9四马尾
bangs pinned back,发型9掀起的刘海
diagonal bangs,发型9斜刘海
mohawk,发型9莫霍克发型
hair spread out,发型9散发
tri tails,发型9有三股辫子
dreadlocks,发型9脏辫
single hair intake,发型10单侧进气口发型
afro,发型10鸟窝头/爆炸头
bow shaped hair,发型10弓形头发
low twin braids,发型10低双辫
hair in mouth,发型10嘴里有头发
buzz cut,发型10寸头
bowl cut,发型10锅盖头
expressive hair,发型10富有表现力的头发
doughnut hair bun,发型10圆环发髻
crystal hair,发型10水晶状的头发
hair ears,发型10耳状头发
split ponytail,发型10尾部散开的单马尾发型
multiple braids,发型10多股(麻花)辫
single hair ring,发型10单发圈
rainbow hair,发型10彩虹发
side drill,发型10单侧钻头卷
curtained hair,发型10窗帘/瀑布发型
uneven twintails,发型10两股辫子大小不一
flattop,发型10平顶
tri braids,发型10三股辫
widow's peak,发型11美人尖
low braided long hair,发型11低辫长发
quad drills,发型11多钻头卷
mullet,发型11鲻鱼头
pixie cut,发型11精灵头
cornrows,发型11玉米垄发型
nihongami,发型11日本发
quad braids,发型11四股辫
beehive hairdo,发型11蜂窝头
heart hair bun,发型11心形发髻
hair scarf,发型11头发围巾
bald girl,发型11秃头女孩
quiff,发型11蓬松感油头
lone nape hair,发型11孤颈毛
